timestamp,current,field,ADCDAC temp,box temp,rack temp,water temp,water flow
2023-07-25 15:35:35,25.598365,959.34,40.947,38.33,39.62,3.5,6.1
2023-07-25 15:35:36,25.598365,955.91,40.947,38.34,39.62,3.5,6.2
2023-07-25 15:35:37,25.59836,957.48,40.949,38.37,39.71,3.5,6.2
2023-07-25 15:35:37,25.598371,955.82,40.949,38.37,39.71,3.5,6.2
2023-07-25 15:35:38,25.598371,959.03,40.946,38.38,39.68,3.46,6.2
2023-07-25 15:35:39,25.59835,957.07,40.946,38.38,39.68,3.46,6.2
2023-07-25 15:35:39,25.59835,956.78,40.942,38.39,39.69,3.49,6.2
2023-07-25 15:35:40,25.598365,953.42,40.942,38.39,39.69,3.49,6.2
2023-07-25 15:35:40,25.598365,960.88,40.946,38.39,39.72,3.48,6.2
2023-07-25 15:35:41,25.598365,958.43,40.946,38.42,39.72,3.48,6.2
2023-07-25 15:35:42,25.598365,958.22,40.943,38.42,39.75,3.48,6.3
2023-07-25 15:35:42,25.598376,956.47,40.947,38.41,39.75,3.48,6.3
2023-07-25 15:35:43,25.598376,956.17,40.947,38.42,39.72,3.47,6.3
2023-07-25 15:35:43,25.598351,954.5,40.95,38.42,39.72,3.47,6.2
2023-07-25 15:35:44,25.598351,958.7,40.95,38.42,39.78,3.46,6.2
2023-07-25 15:35:45,25.598365,957.58,40.954,38.45,39.78,3.46,6.2
2023-07-25 15:35:45,25.598365,956.45,40.954,38.43,39.83,3.5,6.2
2023-07-25 15:35:46,25.598363,956.48,40.958,38.43,39.84,3.45,6.2
2023-07-25 15:35:47,25.59835,960.03,40.953,38.45,39.84,3.45,6.2
2023-07-25 15:35:48,25.598369,956.12,40.953,38.47,39.9,3.45,6.2
2023-07-25 15:35:49,25.598369,957.64,40.958,38.47,39.9,3.45,6.0
2023-07-25 15:35:49,25.598351,956.64,40.96,38.37,39.95,3.45,6.0
2023-07-25 15:35:50,25.598351,958.03,40.96,38.37,39.94,3.44,6.1
2023-07-25 15:35:51,25.598346,957.32,40.968,38.51,39.94,3.44,6.2
2023-07-25 15:35:52,25.598351,957.27,40.968,38.53,39.94,3.43,6.2
2023-07-25 15:35:52,25.598351,957.71,40.971,38.53,39.94,3.43,6.4
2023-07-25 15:35:55,25.598351,956.62,40.976,38.54,39.87,3.42,6.4
2023-07-25 15:35:57,25.598338,956.64,40.973,38.55,39.78,3.42,6.3
2023-07-25 15:35:58,25.598354,957.43,40.956,38.55,39.79,3.41,5.9
2023-07-25 15:36:01,25.598352,960.92,40.957,38.57,39.82,3.4,6.1
2023-07-25 15:36:04,25.59835,960.64,40.966,38.55,40.0,3.39,6.3
2023-07-25 15:36:07,25.598333,960.82,40.967,38.59,39.95,3.38,6.4
2023-07-25 15:36:10,25.598364,957.46,40.967,38.62,39.98,3.37,6.2
2023-07-25 15:36:14,25.598339,957.47,40.976,38.67,40.02,3.35,6.2
2023-07-25 15:36:17,25.598368,960.47,40.958,38.72,40.04,3.34,6.1
2023-07-25 15:36:20,25.59837,957.5,40.934,38.72,40.23,3.34,6.1
2023-07-25 15:36:24,25.598359,957.37,40.932,38.72,40.12,3.33,6.3
2023-07-25 15:36:27,25.598362,958.71,40.939,38.73,40.09,3.33,6.3
2023-07-25 15:36:31,25.598365,961.25,40.939,38.72,40.12,3.32,6.0
2023-07-25 15:36:35,25.598349,958.8,40.935,38.77,40.2,3.32,6.3
2023-07-25 15:36:40,25.598362,958.46,40.928,38.77,40.08,3.32,6.1
2023-07-25 15:36:44,25.598363,960.91,40.916,38.73,40.2,3.32,6.5
2023-07-25 15:36:50,25.598355,960.8,40.914,38.74,40.16,3.33,6.1
2023-07-25 15:36:54,25.598345,959.01,40.92,38.73,40.22,3.33,6.1
2023-07-25 15:36:59,25.598333,963.66,40.935,38.73,40.19,3.34,6.1
2023-07-25 15:37:05,25.598362,960.5,40.943,38.66,40.3,3.35,6.4
2023-07-25 15:37:10,25.598361,960.93,40.939,38.65,40.18,3.37,6.4
2023-07-25 15:37:15,25.59837,963.14,40.924,38.62,40.11,3.39,6.3
2023-07-25 15:37:23,25.598362,963.76,40.925,38.57,40.13,3.42,6.3
2023-07-25 15:37:29,25.598363,961.82,40.933,38.49,39.98,3.44,6.2
2023-07-25 15:37:36,25.598356,966.32,40.914,38.45,39.87,3.48,6.4
2023-07-25 15:37:43,25.598354,962.66,40.913,38.35,39.78,3.5,6.2
2023-07-25 15:37:51,25.598345,960.03,40.892,38.3,39.76,3.54,6.3
